id,kind,category,severity,controlled,description,affected_outputs,required_solution,source_file,source_section,source_note
uncertainty_eternal_inflation,uncertainty,computational,8,False,"200 points (50%) of FOPT scan failed due to eternal inflation, primarily at higher g_D or v values","viable parameter space|FOPT scan completeness","Investigate eternal inflation regime; understand physical reason; extend scan methodology",output/SU2_conformal/handoff_fopt.json,warnings[2],"Large failure rate suggests significant parameter space is inaccessible or physically invalid."
uncertainty_large_alpha,uncertainty,theoretical,9,False,"Model produces very large alpha values (up to 10^16) in PTA-preferred region due to Coleman-Weinberg mechanism","GW template validity|perturbative calculations|FOPT dynamics","Validate all approximations (high-T expansion, Daisy resummation, template) in alpha >> 0.5 regime",output/SU2_conformal/handoff_pta.json,warnings[1],"Strong supercooling regime; many standard approximations may break down. Literature (2312.12413) discusses EFT challenges."
uncertainty_T_peak_discrepancy,uncertainty,computational,7,False,"Discrepancy with literature (2109.11558): backend gives T_p ~ 0.1 v while literature reports sub-GeV T_* for v ~ 100 GeV","FOPT temperature|GW frequency|literature comparison","Investigate origin of discrepancy; verify backend implementation; reconcile conventions",output/SU2_conformal/handoff_fopt.json,warnings[1],"May be due to different conventions, model details, or backend approximations."
uncertainty_f_peak_below_PTA,uncertainty,observational,8,False,"All spectra peak at the lowest PTA frequency bin, suggesting actual peak is below PTA frequency range","PTA signal interpretation|frequency matching","Extend to lower frequencies or verify spectrum can match within PTA range",output/SU2_conformal/handoff_pta.json,warnings[3],"Model may inherently produce GW signals at frequencies below PTA sensitivity."
uncertainty_parameter_shift,uncertainty,model_building,8,False,"PTA-preferred region has v ~ 0.6-1.3 GeV, much lower than original model range [100, 1e6] GeV","mass scale|phenomenology|constraint applicability","Re-evaluate model motivation at low v; check consistency with original literature",output/SU2_conformal/handoff_constraints.json,warnings[0],"Dark gauge bosons have masses 0.28-0.64 GeV in PTA-preferred region"
uncertainty_secluded_sector,uncertainty,model_building,7,False,"No SM portal couplings; dark sector is secluded, limiting direct production constraints and cosmological connections","phenomenology|cosmology|testability","Study impact of adding portal couplings; assess naturalness of secluded scenario",output/SU2_conformal/handoff_constraints.json,warnings[3],"Limits applicability of most direct detection constraints; affects DM production mechanisms."
validity_perturbativity,caveat,validity_domain,5,True,"All perturbative calculations assume g_D < 4pi ~ 12.56; validity breaks down at stronger couplings","beta_lambda|thermal potential|FOPT parameters","Monitor perturbativity; flag non-perturbative regions",output/SU2_conformal/handoff_model.json,free_parameters[0].physical_range_justification,"Standard perturbativity bound; scan ranges respect this."
validity_high_T_supercool,caveat,validity_domain,9,False,"High-T expansion valid when T^2 >> m^2; may break down in supercooled regime (T_* << v)","nucleation rate|Tn|Tp|alpha|beta/H","Implement 3D EFT methods without high-T expansion; validate in supercooled regime",output/SU2_conformal/handoff_constraints.json,approximations[0],"Literature (2312.12413, 2210.07075) discusses EFT challenges for supercooled transitions."
validity_alpha_template,caveat,validity_domain,6,True,"dbf template validated for alpha >> 0.5; higgsless only valid for alpha <= 0.5","GW spectrum shape|PTA signal matching","Continue using dbf template; validate against simulations for extreme alpha (up to 10^16)",output/SU2_conformal/handoff_pta.json,template_validity,"Template choice appropriate for this model's parameter space."
validity_no_portal,caveat,validity_domain,6,True,"Constraints requiring portal couplings not applicable due to epsilon=0, lambda_HPhi=0","experimental constraints","Document limitation clearly; consider adding portal couplings for completeness",output/SU2_conformal/handoff_constraints.json,constraints[0,1,2].applicability,"Major limitation: most direct detection constraints cannot be applied to secluded sector."
caveat_dof_ambiguity,caveat,documentation,2,True,"Particle_content lists gauge boson A with dof=3 without clarifying field components vs degrees of freedom",documentation clarity,"Clarify in documentation (already addressed)",output/SU2_conformal/handoff_critique.json,warnings[0],"Minor ambiguity; actual dof correctly handled in field_dependent_masses"
caveat_G_named_goldstone,caveat,documentation,2,True,"Field G named 'Goldstone boson' but has m^2 = lambda chi^2 (massive); physically pseudo-Goldstone","field naming|conceptual clarity","Rename to pseudo-Goldstone (already addressed in model.md)",output/SU2_conformal/handoff_critique.json,warnings[1],"Misleading naming; corrected in model documentation"
caveat_thermal_mass_uniform,caveat,approximation,4,True,"W thermal mass formula assumes same thermal correction for all dof; transverse may differ from longitudinal","thermal masses|effective potential accuracy","Investigate mode-dependent thermal masses; validate impact",output/SU2_conformal/handoff_critique.json,warnings[2],"Approximation consistent with pipeline and literature (2109.11558, 2210.07075)"
limitation_scalar_loop,limitation,theoretical,5,True,"Scalar loop contributions to beta_lambda omitted; valid for g_D not too small","CW beta function|lambda determination","Include scalar loops for completeness; quantify impact",output/SU2_conformal/handoff_critique.json,warnings[3],"Verified in literature (2109.11558, 2210.07075) as valid approximation"
limitation_bbn,limitation,cosmological,7,False,"Light scalars (m_rho ~ 36-86 MeV, m_G ~ 18-43 MeV) in PTA-preferred region may affect BBN","BBN predictions|light element abundances","Compute scalar decay widths and lifetimes; assess BBN impact",output/SU2_conformal/handoff_constraints.json,constraints[5],"Requires new backend for scalar decay calculations"
limitation_neff,limitation,cosmological,6,False,"Dark sector particles may contribute to N_eff if reheated above decoupling temperature","CMB observations|N_eff constraints","Compute dark sector thermal history and decoupling temperature",output/SU2_conformal/handoff_constraints.json,constraints[6],"Requires new backend for thermal history computation"
limitation_self_interaction,limitation,astrophysical,7,False,"Vector DM self-interaction cross section ~ g_D^4 / m_W^2 ~ 10^{-2} to 1 cm^2/g may violate observations","DM self-interaction|structure formation","Compute dark sector scattering amplitudes; compare with observations",output/SU2_conformal/handoff_constraints.json,constraints[4],"Requires new backend for dark sector scattering calculations"
limitation_no_running,limitation,computational,6,False,"No RG running of couplings; fixed mu = v may introduce scale dependence","FOPT parameters|scale dependence","Implement RG running; study scale dependence; compare with literature (2210.07075)",output/SU2_conformal/handoff_fopt.json,approximations[2],"Literature uses RG-improved effective potential"
warning_strong_supercooling,warning,theoretical,9,False,"Strong supercooling regime (alpha >> 0.5, up to 10^16) may affect applicability of multiple approximations","FOPT calculations|GW predictions","Systematic validation of all approximations in supercooled regime; consider 3D EFT",output/SU2_conformal/handoff_constraints.json,warnings[2],"Core theoretical uncertainty for this model"
warning_sub_GeV_particles,warning,phenomenological,7,False,"PTA-preferred region produces sub-GeV dark gauge bosons and light scalars","constraint applicability|phenomenology","Re-evaluate all constraints for sub-GeV mass range; consider new experimental searches",output/SU2_conformal/handoff_constraints.json,warnings[1],"Makes particles accessible to beam-dump and collider constraints if portal couplings exist"
warning_template_extrapolation,warning,computational,6,False,"dbf template extrapolated to extreme alpha (up to 10^16); validation may not extend to this regime",GW spectrum accuracy,"Validate template against simulations at extreme alpha; consider alternative templates",output/SU2_conformal/handoff_pta.json,warnings[1],"Template from 2511.15687 validated for large alpha but not for alpha ~ 10^16"
warning_eternal_inflation,warning,computational,8,False,"50% failure rate due to eternal inflation in FOPT scan","viable parameter space|scan completeness","Investigate eternal inflation criterion; improve numerical stability",output/SU2_conformal/handoff_fopt.json,warnings[2],"Primarily at higher g_D or v values"
