id,kind,category,description,severity,controlled,affected_outputs,source_file,source_section
A32,uncertainty,fopt_parameters,"Extreme alpha values (10^3 to 10^33) across viable region may indicate HT expansion breakdown at high end.",3,FALSE,handoff_fopt.json|handoff_pta.json,handoff_fopt.json,benchmarks
A33,limitation,fopt_parameters,"FOPT scan uses sparse grid (680 points, 100x log chi0, 20x linear g). May miss fine features.",3,FALSE,handoff_fopt.json,handoff_fopt.json,benchmark_summary
A34,assumption,spectrum_template,"f_peak_est is null for many FOPT benchmark points, limiting frequency prediction capability.",4,FALSE,handoff_fopt.json,handoff_fopt.json,benchmarks
A35,assumption,model_building,"Model not novel: arXiv:2109.11558 studied exact same model for same target signal.",1,TRUE,handoff_librarian_preliminary.json,handoff_librarian_preliminary.json,novelty_verdict
A36,warning,backend,"Unverifiable paper IDs in earlier handoff stages flagged and corrected by librarian.",2,TRUE,handoff_librarian_preliminary.json,handoff_librarian_preliminary.json,novelty_notes
A37,caveat,spectrum_template,"dbf template reference (arXiv:2511.15687) cannot be verified through public searches.",7,FALSE,handoff_pta.json,handoff_pta.json,template_choice
A38,warning,literature_comparison,"Gaussian approximation reference (arXiv:2602.02928) cannot be verified. Standard technique but reference invalid.",3,FALSE,handoff_fopt.json|handoff_model.json,handoff_fopt.json,approximations
A39,limitation,cosmological_constraints,"Tension between best scan points (chi0 ~ 0.4-0.5 GeV) and MAP posterior (chi0 = 1.12 GeV) not discussed.",4,FALSE,handoff_pta.json|handoff_fopt.json,handoff_pta.json,violin_scan
A40,limitation,cosmological_constraints,"SIDM and supernova cooling constraints flagged as recast_needed but not performed.",5,FALSE,handoff_constraints.json,handoff_constraints.json,constraints
A41,uncertainty,cosmological_parameters,"Hubble/g_star interpolated from table with extrapolation at extreme temperatures. Standard approach.",3,TRUE,handoff_fopt.json,semianalytic_pipeline.py,
A42,caveat,backend,"Numerical derivatives use h = 1e-3*x step size. Convergence of derivative accuracy not validated.",3,FALSE,handoff_fopt.json,semianalytic_pipeline.py,numerical_derivative
