id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section
A-012,approximation,gw_spectrum,"Single GW template (dbf from Lewicki et al. 2025). No template averaging or marginalization.",4,false,"GW h^2Omega(f) shape, Posterior inference, PTA scores","dbf is most appropriate for alpha>>1. But single template introduces systematic uncertainty. Template-averaging (as done for SMBHB models) would capture this.","handoff_pta.json","template_validity"
A-013,warning,gw_spectrum,"dbf template calibration range may be pushed for extreme alpha values (10^11-10^15).",5,false,"GW amplitude for extreme alpha, Posterior credible regions","Most extreme alpha may exceed calibration range. Spectral shape (f^2 slope, high-f falloff) remains physically motivated but normalization has additional uncertainty.","handoff_pta.json","warnings"
A-014,assumption,gw_spectrum,"Runaway bubble walls (v_w -> 1) assumed for all viable points.",5,false,"GW spectrum amplitude and peak frequency","Supercooled PT with alpha>>1 expected runaway. But NLO friction (Bodeker-Moore) can limit velocity (arXiv:2501.15649). GW amplitude scales strongly with v_w.","handoff_model.json","assumptions"
A-015,limitation,reheating,"Exact T_reh and its effect on GW peak not computed self-consistently. Fixed g*=10 for f_peak_est.",6,false,"GW peak frequency, Post-PT cosmology, Delta N_eff","Fixed g*=10 introduces O(10-30%) uncertainty. Reheating dynamics (instantaneous vs gradual) can affect spectrum shape (arXiv:2603.11184). Not modeled.","handoff_fopt.json","approximations"
A-016,approximation,fopt_computation,"CW-fixed scalar quartic lambda_Phi not scanned independently, determined by beta_lambda=3*g_D^4/(8*pi^2).",2,true,"FOPT benchmark scan coverage","Correct by construction for CW mechanism. Quartic is not a free parameter. Controlled.","handoff_fopt.json","approximations"
A-017,uncertainty,literature,"Model not novel (verdict from librarian). arXiv:2501.11619 studied same model class with RG-improved potential.",3,true,"Scientific interpretation, Novelty claims","Well-documented with direct citations. Analysis is complementary. Controlled if report acknowledges literature.","handoff_librarian_preliminary.json","novelty_verdict"
A-018,uncertainty,sampling,"PTArcade convergence: N_samples=1e5, ~5700 post-thinning samples. No R-hat or ESS reported.",6,false,"Posterior credible regions, MAP, Bayes factors","5700 samples may suffice for 2D posterior, but formal convergence diagnostics (R-hat<1.01, ESS>1000) not reported. Monte Carlo uncertainty unquantified.","handoff_pta.json","chain_validation"
A-019,caveat,sampling,"Priors: log-uniform v [5e-4,50] GeV, uniform g_D [0.3,1.5]. Posteriors not hitting boundaries but prior width uneven.",4,false,"Marginal posterior distributions, Credible intervals","Priors wide enough to not truncate. Log-uniform for v appropriate. Sensitivity check with different bounds would confirm robustness.","handoff_pta.json","priors"
A-020,uncertainty,experimental_constraints,"Kinetic mixing epsilon unspecified. All 5 directly testable A' constraints depend on epsilon.",8,false,"Model viability, Thermalization, Dark photon phenomenology","Viable window: 10^-9 < epsilon < 10^-4 (from LHCb/BaBar/BBN). Cannot verify without epsilon value. Most critical constraint blocker.","handoff_constraints.json","warnings"
A-021,uncertainty,experimental_constraints,"Higgs portal lambda_HPhi unspecified. All rho constraints depend on sin^2(theta) proportional to lambda_HPhi.",8,false,"Model viability under rho constraints, BBN/CMB","Cosmological beam dump (arXiv:1812.07585) excludes sin^2(theta) from 10^-11 to 10^-6. Only sin^2(theta)<10^-11 clearly viable.","handoff_constraints.json","warnings"
A-022,caveat,experimental_constraints,"BBN constraint on A' gives LOWER bound epsilon > 1e-9 to 1e-8, not upper bound. Often misunderstood.",5,false,"Applicable epsilon range, Model viability","Coy et al. (2025, arXiv:2405.10792): decay before BBN requires epsilon > 1e-9. Combined with collider epsilon < 1e-4 gives viable window 1e-9 to 1e-4.","handoff_constraints.json","constraints"
A-023,caveat,experimental_constraints,"Visible vs invisible A' decay competition determines which collider constraints apply. Requires branching fraction computation.",6,false,"Applicability of LHCb, BaBar, NA62 constraints","For g_D~0.5, invisible width to rho+A'* may dominate if epsilon small. BaBar invisible constraint then more relevant than LHCb muon search.","handoff_constraints.json","approximations"
A-024,uncertainty,cosmological,"Delta N_eff ~ 0.57 with xi=1 and 4 dark dofs, exceeding Planck 95% CL bound (0.3).",9,false,"Model cosmological viability, BBN/CMB predictions","Most serious uncontrolled uncertainty. Possible resolutions: supercooling dilution (needs computation), non-thermal dark sector (contradicts xi=1), decay to SM before BBN (requires specific couplings).","handoff_constraints.json","constraints"
A-025,uncertainty,experimental_constraints,"Dark scalar rho freeze-in yield and relic overproduction cannot be evaluated without lambda_HPhi.",7,false,"rho abundance at BBN/CMB, rho decay constraints","For sin^2(theta)>10^-6: thermal freeze-out (overproduction, excluded). For 10^-12 to 10^-7: freeze-in (must decay before BBN). For <10^-11: safe.","handoff_constraints.json","constraints"
A-026,caveat,experimental_constraints,"Some rho constraints only partially cover m_rho=30-70 MeV range. PS191 covers 100-150 MeV. CMS h->SS covers >0.4 GeV.",3,false,"Constraint coverage completeness","Lower m_rho range (30-50 MeV) has incomplete coverage. NA62/E949 K->pi+invisible provides complementary coverage.","handoff_constraints.json","constraints"
A-027,approximation,numerical,"204/925 (22%) FOPT scan points failed numerically (mostly 'Tn invalid: nan') at small v and g_D.",4,false,"Parameter scan completeness, PTA region boundaries","Failures cluster at small v (<0.02 GeV) and small g_D (<0.5). Likely genuinely non-viable regions, but boundary determined by numerical stability, not physical criterion.","handoff_fopt.json","benchmark_summary"
A-028,caveat,numerical,"Eternal inflation flagged in 41 scan points at higher g_D. Correctly excluded.",3,true,"PTA-compatible region boundary","Correctly identified physical boundary. Quantum fluctuations dominate when expansion faster than transition. Controlled exclusion.","handoff_fopt.json","benchmark_summary"
A-029,uncertainty,literature,"Athron et al. (2024, arXiv:2306.17239) challenge about false vacuum trapping for supercooled FOPTs not directly addressed.",6,false,"Confidence in FOPT completion, Percolation condition","Conformal models circumvent this (S_E->0 as T->0, see arXiv:2501.11619). Backend includes percolation check. Dedicated analysis per arXiv:2501.15649 would provide stronger confidence.","handoff_librarian_preliminary.json","theory_uncertainties"
A-030,uncertainty,gw_spectrum,"GW source modeling (sound waves vs bubble collisions) debated for extreme supercooling.",5,false,"GW spectrum shape and amplitude","dbf template with bulk flow is most appropriate. But literature (Caprini et al. 2024, etc.) uses different prescriptions. Comparison study would quantify systematic uncertainty.","handoff_librarian_preliminary.json","theory_uncertainties"
A-031,caveat,pta_analysis,"Benchmark scan uses simple bin-counting score (how many of 14 NG15 bins inside violins), not full likelihood.",4,false,"Benchmark ranking, Best-fit identification","Useful heuristic. All best-fit points score 14/14 (saturated). PTArcade full likelihood provides rigorous inference. Benchmark scan is coarse filter.","handoff_pta.json","benchmark_analysis"
A-032,uncertainty,pta_analysis,"Bayes factor vs SMBHB model not computed. Standard figure of merit in PTA FOPT papers is missing.",5,false,"Quantitative model comparison, Evidence for FOPT","arXiv:2501.11619 and arXiv:2502.19478 report Bayes factors. Without this, statistical preference for FOPT over SMBHB cannot be quantified.","handoff_pta.json","bayes_estimates"
A-033,caveat,pta_analysis,"PTArcade campaign used partial chains (~5700 post-burn-in samples), full 1e5 run may not have converged fully.",5,false,"Posterior credible regions, Robustness of MAP","Partial chains may not have reached full convergence, especially in tails. Posterior should be considered preliminary.","handoff_pta.json","bayes_estimates"
A-034,caveat,gw_spectrum,"No non-Gaussianity, polarization, or frequency-dependent speed of sound effects modeled.",2,false,"GW spectrum shape at high precision","Subdominant for current analysis. Undetectable with current PTA sensitivity. Will be relevant for SKA-era datasets.","handoff_pta.json","approximations"
A-035,assumption,numerical,"Interpolated g_star(T) from file used for SM particle content. Not explicitly tracked.",2,true,"FOPT thermal quantities, Hubble evolution","Standard approach. Table covers MeV-GeV range. Controlled.","handoff_critique.json","validation_particle_content"
A-036,caveat,experimental_constraints,"All 4 directly testable theory constraints satisfied: perturbativity, CW consistency, classical scale invariance.",1,true,"Model self-consistency","No action needed. Model internally consistent at theory level.","handoff_constraints.json","constraints"
A-037,caveat,pta_analysis,"MAP from PTArcade (v=1.07 GeV) vs benchmark BP1 (v=0.43 GeV) differ by factor ~2.5.",3,false,"Best-fit interpretation","Discrepancy from different metrics (likelihood vs bin-counting). PTArcade likelihood more reliable. 1-sigma ranges capture this.","handoff_pta.json","best_fit_points"
A-038,limitation,computation,"No backend modules for A'/rho decay widths, freeze-in yields, or dark sector thermal history. 8 missing calculations identified.",10,false,"All experimental constraints (19/23 blocked), Cosmological viability","Constraint agent identified 8 missing calculations. Without these, no definitive experimental constraint evaluation possible. Single most impactful pipeline limitation.","handoff_constraints.json","missing_calculations"
