id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section
A11,approximation,fopt-nucleation,"Single-field approximation for the bounce action. The FOPT is treated as driven by the radial mode chi alone.",5,false,handoff_fopt.json;handoff_pta.json,"Standard for models with single scalar vev. Multi-field bounce effects (gauge field fluctuations) could modify the action. Feng & Zhang (2602.14866) provide gauge-independent treatment. Required action: compare with full multi-field bounce action.",handoff_fopt.json,approximations
A12,approximation,fopt-nucleation,"Eternal inflation condition checked but relies on the bounce action extrapolation to T=0 and the condition S_3(T=0)/T > ~2.",3,true,handoff_fopt.json,"The eternal inflation check is performed and viable points are filtered. For extremely supercooled points (alpha ~ 10^24), graceful exit (Ellis, Lewicki, No, 1809.08242) becomes relevant.",handoff_fopt.json,validation
A13,approximation,fopt-nucleation,"Percolation temperature T_p computed via the Gaussian approximation of the false vacuum fraction P_f(T_p) = 0.71. Does not use the physical volume criterion or JMAK equation.",4,false,handoff_fopt.json;handoff_pta.json,"The physical volume criterion (Athron et al. 2305.02357) is more fundamental for strong supercooling. Required action: check the physical volume criterion for the benchmark points.",handoff_fopt.json,validation
A14,assumption,fopt-nucleation,"Bubble wall velocity is assumed to be ultra-relativistic / runaway (v_w ~ 1). The DBF template is calibrated for this regime.",7,false,handoff_pta.json,"Critical uncontrolled assumption. Garcia Garcia et al. (2212.10572) show P_mdp from massive gauge bosons can prevent runaway. This model has such bosons (A'). Required action: compute v_w from friction pressure vs vacuum energy.",handoff_pta.json,approximations
A15,approximation,fopt-gw,"DBF (dissipative bulk flow) template from Lewicki & Vaskonen (2025, arXiv:2511.15687) used for GW spectrum. Valid for strongly supercooled transitions (alpha >> 1) with ultra-relativistic walls.",6,false,handoff_pta.json,"Template appropriate for supercooled regime but calibration has specific assumptions. For extreme alpha ~ 10^10, Li & Nath (2602.14324) advocate R_* instead of beta/H. Required action: validate against full numerical simulations for the specific alpha values found.",handoff_pta.json,approximations
A16,uncertainty,fopt-gw,"Bubble collisions vs sound waves vs turbulence dominance in the GW spectrum. The DBF template assumes the dissipative bulk flow regime where fluid motion is the dominant source.",5,false,handoff_pta.json,"For alpha >> 1 with secluded DS and no radiation, bubble walls could dominate. Required action: compare vacuum-dominated (bubble collision) and fluid-dominated templates for same FOPT parameters.",handoff_pta.json,approximations
A17,uncertainty,fopt-gw,"Numerical failure rate: 40.8% (1822/4464) of FOPT scan points failed, mostly at high g_D (>1.5) where the bounce action computation fails.",6,false,handoff_fopt.json;handoff_pta.json,"High failure rate at g_D > 1.5 is significant coverage gap. PTArcade posterior is within stable range, but the excluded high-coupling region may contain viable points. Required action: diagnose numerical failures.",handoff_fopt.json,warnings
A18,approximation,pta-priors,"PTArcade prior choice: Uniform(0.1, 3.0) on g_D, Uniform(0.0001, 0.8) on y_psi, Uniform(-4.0, 1.0) on log10_v. Flat priors in linear space for couplings, flat in log space for v.",6,false,handoff_pta.json,"Prior choice affects posterior inference. y_psi 68% HPDI lower bound not existing (extends to prior boundary) suggests prior-driven projection effect. Required action: rerun with Jeffreys or weakly informative priors; extend y_psi upper bound.",handoff_pta.json,ptarcade_analysis.priors
A19,limitation,pta-mcmc,"PTArcade MCMC convergence: 100k samples total, 7,501 post-burnin samples from a single chain for inference.",6,false,handoff_pta.json,"7,501 effective samples from single chain may be insufficient, especially for tail quantiles. No R-hat (single chain). No ESS reported. Required action: run 4+ independent chains, compute R-hat < 1.05, verify ESS > 1000.",handoff_pta.json,ptarcade_analysis.chain_validation
A20,limitation,pta-priors,"The PTArcade posterior is driven by a 14-bin comparison to the NANOGrav 15-year data. The benchmark scan uses a binary inside/outside bin criterion (score/14) rather than a chi-squared likelihood.",5,false,handoff_pta.json,"Binary score discards spectral shape information. A chi-squared fit with NANOGrav covariance matrix would provide quantitative model comparison. Required action: report chi-squared values alongside binary scores.",handoff_pta.json,benchmark_analysis.best_fit_points
A21,caveat,pta-mcmc,"The y_psi marginal posterior extends to very small values without a well-defined lower bound. The 68% HPDI lower bound does not exist (extends to prior edge).",7,false,handoff_pta.json;handoff_constraints.json,"Serious degeneracy: y_psi only affects beta_lambda; for y_psi << g_D, beta_lambda becomes independent of y_psi. PTA data cannot resolve this degeneracy. Required action: reparameterise using (g_D, m_chi/v, v) basis.",handoff_pta.json,warnings
A22,limitation,constraint-dm,"Dark matter relic abundance has not been computed. The lightest dark sector particle (chi in most of the 1-sigma PTArcade region, m_chi ~ 20-120 MeV) is a stable DM candidate but its relic abundance is unknown.",10,false,handoff_constraints.json,"Most critical missing calculation. Overproduction (Omega h^2 > 0.12) would exclude large regions of PTArcade posterior. Required action: implement Boltzmann solver for secluded freeze-out; compute chi chi -> A A cross-section.",handoff_constraints.json,constraints.C07
A23,limitation,constraint-dm,"Dark matter self-interaction cross-section has not been computed. For chi masses ~20-120 MeV with A' mediator masses ~340-940 MeV, the self-interaction could be relevant for small-scale structure.",4,false,handoff_constraints.json,"Mass ratio m_A'/m_chi ~ 5-20 implies perturbative regime with potentially interesting self-interactions. Required action: compute transfer cross-section as function of velocity.",handoff_constraints.json,constraints.C11
A24,assumption,constraint-thermal,"Perturbative unitarity: g_D < 4*pi is satisfied for the whole viable region. More stringent coupled-channel unitarity bounds have not been checked for this specific mass hierarchy.",3,true,handoff_constraints.json,"Simple perturbativity bound is satisfied. More detailed bounds (Araki et al. 2406.17760) need dedicated computation but low priority given small couplings.",handoff_constraints.json,constraints.C08
A25,assumption,constraint-thermal,"Delta N_eff constraint is satisfied because all dark sector particles in the PTArcade 1-sigma region have masses > 30 MeV and are non-relativistic at BBN.",2,true,handoff_constraints.json,"Valid for PTArcade posterior (v~0.65-1.45 GeV). FOPT benchmark region (v~10-20 MeV) has m_chi ~ 1-2 MeV borderline. PTArcade region is fiducial.",handoff_constraints.json,constraints.C05
A26,limitation,constraint-bbn,"BBN constraints on late-decaying particles require the relic abundance of the stable DM candidate (chi) to compute energy injection. Only A' lifetime computed (prompt, safe).",6,false,handoff_constraints.json,"A' decay is prompt. But if chi is stable, its energy density at BBN (not decay) is the concern. Required action: compute chi number density after FOPT.",handoff_constraints.json,constraints.C04
A27,limitation,constraint-bbn,"BBN/CMB constraint on PT energy injection (Bai-Korwar bound T_* > ~2 MeV for strong PTs). FOPT benchmarks have T_reh < 2 MeV (as low as 0.45 MeV).",7,false,handoff_constraints.json;handoff_fopt.json,"Bound assumes latent heat reheats SM photons. In secluded model, DS is reheated. But DS energy density contributes to expansion rate. Required action: compute DS energy density at BBN.",handoff_constraints.json,constraints.C16
A28,limitation,constraint-thermal,"xi = T_dark/T_SM = 1 is inconsistent with zero portals. Gravitational thermalisation is negligible. The dark sector temperature evolution must be self-consistently computed from the PT reheating.",10,false,handoff_fopt.json;handoff_pta.json;handoff_constraints.json,"Single most critical unresolved issue. Gamma_grav/H ~ 10^{-51} at T=1 GeV -- negligible. Li & Nath (2602.14324) show omitting xi evolution changes GW predictions by up to 4 orders of magnitude. Required action: model DS as isolated thermal bath.",handoff_constraints.json,constraints.C17
A29,limitation,model-phenomenology,"The PTArcade 1-sigma region (v ~ 0.65-1.45 GeV) and the FOPT benchmark region (v ~ 10-20 MeV) are in completely different mass regimes.",6,false,handoff_fopt.json;handoff_pta.json;handoff_constraints.json,"Two analyses point to different physical regimes. Required action: overlay benchmark 14/14 points and PTArcade posterior on (v, g_D) plane to check consistency.",handoff_pta.json,benchmark_analysis.best_fit_points
A30,caveat,constraint-thermal,"The 1-sigma PTArcade region has all dark sector masses > 30 MeV (non-relativistic at BBN), but this is conditional on the xi=1 assumption.",7,false,handoff_constraints.json;handoff_pta.json,"All constraint conclusions (Delta N_eff, BBN, DM relic) are conditional on xi=1. If xi is relaxed, GW parameters change, feeding back into the posterior. Circular dependency.",handoff_constraints.json,input_region.notes
A31,approximation,fopt-potential,"The Coleman-Weinberg mechanism is the sole source of symmetry breaking. No tree-level mass term exists; the one-loop CW potential generates the vacuum expectation value radiatively.",2,true,handoff_fopt.json,"Defining feature of the model. Used consistently across all stages. Validated by critic-agent. Controlled assumption.",handoff_model.json,assumptions
A32,caveat,fopt-numerical,"The semianalytic_pipeline backend uses analytic fits for the bounce action at zero and finite temperature, not a direct numerical solution of the bounce equation.",4,false,handoff_fopt.json,"Analytic bounce action parameterisation may not be accurate for extreme supercooling. 40.8% failure rate suggests fits break down for g_D > 1.5. Required action: cross-validate against CosmoTransitions.",handoff_fopt.json,backend_choice
A33,approximation,fopt-thermo,"The temperature-dependent effective potential uses only the finite-T renormalisation of the scalar self-coupling; running of gauge and Yukawa couplings with temperature is not included.",6,false,handoff_fopt.json,"Coupling running affects the DW approximation and barrier height. Related to A09. Required action: implement one-loop RG running between mu=v and mu~pi*T.",handoff_fopt.json,approximations
A34,limitation,pta-spin,"The PTArcade analysis assumes a power-law SMBHB foreground characterised by amplitude A_BHB and spectral index gamma_BHB as nuisance parameters. The correlation between SMBHB and DS parameters is marginalised but not reported.",3,false,handoff_pta.json,"DS posterior marginalises over SMBHB foreground. 14-bin benchmark scan does not account for SMBHB at all. Required action: report joint posterior of DS+SMBHB parameters and Bayes factor.",handoff_pta.json,ptarcade_analysis.campaign
A35,caveat,pta-validity,"The extremely large alpha values in the benchmark points (up to 10^10) may be outside the calibrated range of the DBF template. The template was validated for alpha up to ~10^4.",7,false,handoff_pta.json,"For alpha >> 1, Universe enters vacuum-dominated expansion. Standard Hubble-normalised parameters lose meaning. Required action: check alpha < alpha_max for each point.",handoff_pta.json,warnings
A36,caveat,fopt-numerical,"The FOPT scan grid resolution (4464 points in 3D parameter space) may miss fine structure in the viable parameter region. The PTArcade MCMC explores more finely but has limited chain length.",3,false,handoff_fopt.json;handoff_pta.json,"4464 points over 3D is coarse (16x16x17 spacing). Narrow viable region (supercooling condition creates thin wedge) may be under-sampled. Required action: adaptive scan with higher resolution.",handoff_fopt.json,scan_summary
A37,assumption,model-building,"The fermion masses from the Yukawa term produce a Dirac mass matrix with degenerate eigenvalues (both psi_1 and psi_2 have the same mass m_psi = y_psi * v / sqrt(2)).",2,true,handoff_fopt.json,"Mass degeneracy follows from single Yukawa coupling with pair of opposite-charge fermions. Consequence of model structure. Validated by critic-agent. Controlled.",handoff_model.json,dependent_parameters
A38,assumption,model-building,"The dark sector has no CP-violating phases: all couplings (g_D, y_psi, lambda_Phi) are real. The Lagrangian is CP-conserving.",2,true,handoff_fopt.json;handoff_pta.json,"Explicitly validated by critic-agent. CP-violation is not relevant for GW spectrum. Controlled assumption.",handoff_critique.json,validation_lagrangian_terms
