id,kind,category,severity,controlled,affected_outputs,description,required_solution,source_file,source_section,source_note
PA11,uncertainty,gauge_dependence,8,false,"literature comparison|transition parameters|theory credibility","Published finite-temperature comparisons and related benchmarks often use Landau-gauge one-loop potentials; gauge dependence remains an uncontrolled theory systematic.","Compare against gauge-independent approximations or vary gauge/resummation prescriptions to estimate a theory envelope.",output/u1conformal/handoff_librarian_preliminary.json,theory_uncertainties,"Gauge dependence of finite-temperature effective potentials is flagged across relevant papers."
PA12,caveat,pta_template,8,false,"benchmark scoring|PTArcade posterior|best-fit spectrum","The bf spectrum template is the closest implemented template for a strongly supercooled transition, not a first-principles validation of this model's GW source.","Propagate template alternatives and wall-dynamics uncertainty, and avoid interpreting the bf posterior as uniquely model-selected.",output/u1conformal/handoff_pta.json,"spectrum_template; template_validity","Closest-template choice with caveats."
PA13,caveat,pta_template,6,true,"template comparison|PTA interpretation","The higgsless sound-wave template was considered but not selected because the large-alpha supercooled regime is outside clean sound-wave validity assumptions.","Keep the sound-wave score as a diagnostic only unless a validity calculation supports it.",output/u1conformal/handoff_pta.json,benchmark_analysis.template_comparison,"higgsless scored bins but was not selected for physical validity reasons."
PA14,limitation,ptarcade_convergence,7,false,"posterior means|credible regions|MAP estimate","PTArcade completed one 100000-sample campaign with finite chains, but no multi-chain convergence, autocorrelation, effective-sample-size, or prior-sensitivity study was performed.","Run independent chains, inspect autocorrelation and effective sample size, and repeat with alternative priors/templates.",output/u1conformal/handoff_pta.json,"warnings; ptarcade_analysis.chain_validation","Acceptance and finite rows were checked, but convergence was not."
PA15,prior,ptarcade_priors,6,false,"posterior regions|Bayes estimates|boundary behavior","PTArcade samples v through a log-uniform prior on log10_v over 0.003-5 GeV and g_D through a uniform prior over 0.42-1.05; these choices are informative.","Run prior-range and measure-sensitivity checks, including wider/narrower v and g_D ranges and explicit reporting of boundary posterior mass.",output/u1conformal/handoff_pta.json,ptarcade_analysis.priors,"v prior is uniform in log10_v; g_D prior is uniform linearly."
PA16,limitation,scan_design,5,false,"benchmark discovery|PTA prior justification|scan coverage","The FOPT seed scan covered v = 0.01-1.0 GeV and g_D = 0.1-0.9, while the PTA/PTArcade prior later expanded to v = 0.003-5.0 GeV and g_D = 0.42-1.05.","Document why the later PTA range is valid and run a consistent posterior-driven FOPT diagnostic over the full PTArcade prior box.","output/u1conformal/handoff_fopt.json and output/u1conformal/handoff_pta.json","model_parameter_ranges; benchmark_analysis.prior_ranges","PTA stage expanded the explored range around viable benchmarks."
PA17,approximation,frequency_estimate,3,true,"FOPT benchmark ranking|PTA handoff seeding","f_peak_est in the FOPT scan is only an order-of-magnitude redshifted frequency scale setter and not the physical PTA template peak.","Continue using full PTA spectra for likelihood work and keep f_peak_est out of final spectral claims.",output/u1conformal/handoff_fopt.json,"warnings; benchmark entries","The handoff explicitly warns that PTA spectral templates belong to the PTA stage."
PA18,limitation,constraints,9,false,"phenomenological viability|allowed parameter space|final exclusion statements","Most experimental, astrophysical, and cosmological constraints were not applied because required observables were missing.","Treat the current result as unconstrained by those searches until the missing observables and recasts are implemented.",output/u1conformal/handoff_constraints.json,"constraint_summary; warnings","Only 2 constraints were directly testable; 11 require a new backend."
PA19,limitation,dark_photon_phenomenology,9,false,"BaBar/LHCb/beam-dump limits|BBN/CMB dark-photon limits|SN1987A checks","A_prime widths, visible/invisible branching fractions, decay lengths, production rates, and recasts are missing because epsilon and decay assumptions are absent.","Implement dark_photon_widths.py and dark_photon_recasts.py with an epsilon prior and decay-channel model.",output/u1conformal/handoff_constraints.json,"constraints C01-C05, C08, C12; missing_calculations","Dark photon limits cannot be applied from mass alone."
PA20,limitation,dark_higgs_phenomenology,9,false,"light scalar searches|Higgs exotic constraints|BBN/CMB scalar limits","rho decay widths, Higgs mixing, portal production, and scalar lifetimes are missing; rho -> A_prime A_prime is closed in the PTArcade 1sigma box.","Implement lambda_HP to scalar-Higgs mixing, rho partial widths, and cosmological lifetime/yield calculations.",output/u1conformal/handoff_constraints.json,"warnings; constraints C06-C09","Visible rho decays are portal controlled."
PA21,limitation,cosmology_constraints,9,false,"cosmological viability|thermal-history interpretation|constraint table","BBN, CMB, Delta N_eff, freeze-in, residual abundance, and late energy-injection constraints are not computed.","Implement thermal_history.py, cosmology_constraints.py, and neff.py with portal couplings, decay tables, yields, and entropy tracking.",output/u1conformal/handoff_constraints.json,"constraints C08-C11, C15; missing_calculations","Masses and xi=1 are insufficient to apply cosmology bounds."
PA22,approximation,constraint_projection,5,false,"derived mass ranges|constraint applicability summaries","The constraints agent treated the PTArcade 1sigma region as a rectangular box rather than reconstructing correlated posterior samples.","Propagate actual chain samples through derived masses and future constraint backends.",output/u1conformal/handoff_constraints.json,"approximations; input_region.notes","Parameter correlations were not reconstructed from the chain."
PA23,caveat,dark_matter,3,true,"constraint interpretation|scope of model","Direct-detection constraints are not applicable to the validated minimal no-fermion model because no stable dark matter particle or local density fraction is defined.","Do not quote direct-detection bounds unless a stable dark matter candidate is added.",output/u1conformal/handoff_constraints.json,constraint C14,"Direct detection can be reopened only if a DM candidate is added."
PA24,caveat,benchmark_transfer,5,false,"PTA prior selection|benchmark seeding|literature comparison","Closest PTA-scale conformal U(1) benchmarks include additional fermions, dark matter dynamics, or different thermal histories that can shift thermal masses and viable priors.","Separate same-model, structurally similar, and target-signal-only benchmarks in all reports and avoid transferring priors without caveats.",output/u1conformal/handoff_librarian_preliminary.json,"papers; benchmark_hints","arXiv:2502.19478 is close but includes anomaly-cancelling fermions and dark matter dynamics."
PA25,approximation,thermal_degrees_of_freedom,4,false,"order-of-magnitude peak estimates|frequency-scale diagnostics","The FOPT f_peak_est uses g_* interpolated from a table and clamped at table boundaries.","For final spectra, use the PTA template computation; if f_peak_est is reported, include the g_* interpolation/clamping caveat.",output/u1conformal/handoff_fopt.json,approximations,"g_* for f_peak_est is interpolated and clamped."
PA26,limitation,model_comparison,5,false,"Bayesian model comparison|strength of PTA preference claims","The PTArcade handoff reports posterior summaries but no evidence estimate or evidence error, so model comparison support is absent.","Run an evidence-capable campaign or restrict claims to posterior fits under the chosen model/template/prior.",output/u1conformal/handoff_pta.json,ptarcade_analysis.bayes_estimates,"evidence and evidence_error are null."
